Group,Category,Size,Size Names,Item,Price
Main Menu,Appetizers,1,,Buffalo Wings,4.50
Main Menu,Appetizers,,,Chicken Fingers,6.99
Main Menu,Appetizers,,,French Fries,3.75
Main Menu,Salad,2,Small,Caesar Salad,5.50
Main Menu,Salad,,Large,Caesar Salad,6.50
Main Menu,Salad,,Small,Antipasto,6.50
Main Menu,Salad,,Large,Antipasto,7.50
Breakfast Menu,Sandwiches,1,,BLT,3.99
Breakfast Menu,Drinks,2,Small,Coffee,1.49
Breakfast Menu,Drinks,,Large,Coffee,1.99
Breakfast Menu,Drinks,,Small,Tea,1.19
Breakfast Menu,Drinks,,Large,Tea,1.19
Lunch,Lunch Sandwiches,1,,Italian,4.99
Pizza Menu,Gourmet Pizza,2,"12""",Alfredo,12.50
Pizza Menu,Gourmet Pizza,,"16""",Alfredo,16.50
Pizza Menu,Gourmet Pizza,,"12""",Francese,12.50
Pizza Menu,Gourmet Pizza,,"16""",Francese,16.50
