Group,Type,Min,Max,Item,Price,1st,2nd,3rd
Salad Dressing,Dropdown ,1,1,Ranch,0.0,,,
Salad Dressing,,,,Italian,0.0,,,
Salad Dressing,,,,Caesar,0.0,,,
Salad Dressing,,,,Thousand Island,0.0,,,
,,,,,,,,
Breakfast Sandwich,Radio,1,1,Croissant,0.0,,,
Breakfast Sandwich,,,,Plain Bagel,0.0,,,
Breakfast Sandwich,,,,Everything Bagel,0.0,,,
,,,,,,,,
Bread,Radio ,1,1,White,0.0,,,
Bread,,,,Wheat,0.0,,,
Bread,,,,Rye,0.0,,,
Condiments,Checkbox,0,2,Hot Sauce,0.0,,,
Condiments,,,,Mayonnaise,0.0,,,
Condiments,,,,Oil & Vinegar,0.0,,,
Condiments,,,,Spicy Mustard,0.0,,,
Condiments,,,,Honey Mustard,0.0,,,
,,,,,,,,
Pizza Toppings,Pizza,0,2,Sausage,,Left,Whole,Right
Pizza Toppings,,,,Sausage,,1.75,2.75,1.75
Pizza Toppings,,,,Pepperoni,,Left,Whole,Right
Pizza Toppings,,,,Pepperoni,,1.75,2.75,1.75
,,,,,,,,
Cookies,Quantity,0,2,Peanut Butter,,,,
Cookies,,,,Sugar,,,,
Cookies,,,,Chocolate Chip,,,,
Cookies,,,,Oatmeal Raisin,,,,
,,,,,,,,
Side Dish,Custom,0,1,Fries,,Person,Group,Family
Side Dish,,,,Fries,,2.99,3.99,4.99
Side Dish,,,,Bread Basket,,Person,Group,Family
Side Dish,,,,Bread Basket,,2.29,3.29,4.99
