Group,Category,Category Description,Size Names,Item,Main POS ID,Size POS ID,Item Description,Price,Notes
Main Menu,Appetizers    ,xyz,Boat,Buffalo Wings,,,def,4.5,
Main Menu,Appetizers,xyz,Boat,Chicken Fingers,,jhk,xyz,6.99,
Main Menu,Appetizers,,Boat,French Fries,,,,3.75,
Main Menu,Salad         ,abc,Small,Caesar Salad,def,,,5.5,
Main Menu,Salad,,Large,Caesar Salad,thg,,,6.5,
Main Menu,Salad    ,,Small,Antipasto,xyz,,,6.5,
Main Menu,Salad,,Large,Antipasto,,,,7.5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Lunch,Lunch Sandwiches,,,Italian,,,,4.99,
,,,,,,,,,
Pizza Menu,Gourmet Pizza,,"12"" ",Alfredo,,,,12.5,
Pizza Menu,Gourmet Pizza,,"16"" ",Alfredo,,,,16.5,
Pizza Menu,Gourmet Pizza,,"12"" ",Francese,,,,12.5,
Pizza Menu,Gourmet Pizza,,"16"" ",Francese,,,,16.5,
,,,,,,,,,
Main Menu,Sandwiches,,,BLT,,,,3.99,
