Group,Type,Min,Max,Item,Attached Mod Group,Main Price,Left Price,Whole Price,Right Price,Extra Multiplied By,Item Description,Main POS ID,None POS ID,Left POS ID,Right POS ID,Whole POS ID,Extra POS ID,Qty for 1 item,Custom Labels,Notes
Salad Dressing,Dropdown ,1,1,Ranch,,0.99,,,,,,,,,,,,,,
Salad Dressing,,,,Italian,,0.99,,,,,,,,,,,,,,
Salad Dressing,,,,Caesar,,0.99,,,,,,,,,,,,,,
Salad Dressing,,,,Thousand Island,,0.99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Breakfast Sandwich,Radio,1,1,Croissant,,0,,,,,,,,,,,,,,
Breakfast Sandwich,,,,Plain Bagel,,0,,,,,,,,,,,,,,
Breakfast Sandwich,,,,Everything Bagel,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bread,Radio ,1,1,White,,0,,,,,,,,,,,,,,
Bread,,,,Wheat,,0,,,,,,,,,,,,,,
Bread,,,,Rye,,0,,,,,,,,,,,,,,
Condiments,Radio,0,2,Hot Sauce,,0,,,,,,,,,,,,,,
Condiments,,,,Mayonnaise,,0,,,,,,,,,,,,,,
Condiments,,,,Oil & Vinegar,,0,,,,,,,,,,,,,,
Condiments,,,,Spicy Mustard,,0,,,,,,,,,,,,,,
Condiments,,,,Honey Mustard,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Pizza Toppings,Pizza,0,2,Sausage,,,1.75,2.75,1.75,,,,,,,,,,,
Pizza Toppings,,,,Pepperoni,,,1.75,2.75,1.75,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cookies,Quantity,0,2,Peanut Butter,,,,,,,,,,,,,,,,
Cookies,,,,Sugar,,,,,,,,,,,,,,,,
Cookies,,,,Chocolate Chip,,,,,,,,,,,,,,,,
Cookies,,,,Oatmeal Raisin,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Side Dish,Custom,0,1,Fries,,,2,3,4,,,,,,,,,,S; M,
Side Dish,,,,Bread Basket,,,2.99,3.99,4.99,,,,,,,,,,,
