"menuitemid","catid","itemname","description","sequenceorder","allowperorder","minperorder","is_special","availabilitydays","timeofday","itempicture","status","pos_name","availability_for_del_pick","available_time_from","available_time_to","available_date_to","available_date_from","allow_special_instructions","visible_type","available_type","day_or_date_range_avail","day_or_date_range_visible"
81022,12773,"Wisconsin 6 Cheese Pizza","Robust tomato, sauce, cheeses made with 100% real mozzarella, feta, provolone, cheddar, parmesan and asiago sprinkled with oregano on a parmesan and asiago crust. &#8232;",1,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
81020,12773,"Philly Cheese Steak Pizza","Made with tender slices of steak, onions, green peppers and mushrooms with provolone and american cheese on a cheesy provolone crust.&#8232;",3,1000,1,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
289855,42898,"MANGO &#33426;&#26524;  Slush &#20912;&#27801;","",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
289856,42898,"PASSION FRUIT &#30334;&#39321;&#26524;  Slush &#20912;&#27801;","",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
289854,42898,"TARO &#33419;&#39321; Slush &#20912;&#27801;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
25650,4395,"Roasted Fingerling Potato with Bacon and Cheddar, Topped with Creme Fraiche and Caviar&#8232;","",27,0,12,0,"mon,tue,wed,thu,fri,sat,sun","",NULL,0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
175935,26490,"Roasted Fingerling Potato with Bacon and Cheddar, Topped with Creme Fraiche and Caviar&#8232;","",27,0,12,0,"mon,tue,wed,thu,fri,sat,sun","","",0,"","mon,tue,wed,thu,fri,sat,sun",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
364777,53998,"California roll &#53000;&#47532;&#54252;&#45768;&#50500;&#47204; &#21152;&#24030;&#21367;","",1,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
408085,60021,"Sweet & Spicy (Grilled Whole Chicken)&#45804;&#53092;&#47588;&#50868;&#47579;","&#29980;&#36771;&#21475;&#21619;&#65288;&#28900;&#20840;&#38622;&#65289;&#49828;&#50967; &#50532; &#49828;&#54028;&#51060;&#49884;",2,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
408086,60021," Spicy(Grilled Whole Chicken) &#47588;&#50868;&#47579;","&#36771;&#21619;&#65288;&#28900;&#20840;&#38622;&#65289;
&#47588;&#50868;&#47579;",3,1000,1,0,"","",NULL,0,"","",NULL,NULL,NULL,NULL,1,"ALWAYS","ALWAYS",0,0
